Business Name,Description,Business Segment,Telephone Main,Cell ,Email,Website,City/Town,Business Address,map_lat,map_long,logoURL,Locality,County,Street Name,Building,Twitter,Facebook,Linkedin,Youtube,Instagram,Claimed Statues,Gallery,Tagline,Price Statues,Price From,Price to,Price Plan,Business Hours,Features
"John Fyucha, Githunguri","Everything on Blogging,SEO, Social Media & Marketing, Web hosting, Quotes, Football, Making money online, Life hacks plus much more is shared here.",Online Marketing,0708120134,,Johnfyucha@gmail.com,www.johnfyucha.com,Githunguri,280,44.987765,-93.206636,
"Icopower ESCO, Nairobi","Icopower-ESCO is the leading Energy service company in East Africa, which provides comprehensive Energy Conversion Efficiency and services for on-grid corporate, institutional and private business owners. We work with clients to reduce operating expenses and stabilize energy costs by improving energy efficiency infrastructure. Our products include voltage optimizers, power factor optimizers, LED lighting as well compressed air system optimizers. We also offer ancillary services including energy audits, thermography, measurement and verifications as well as energy monitoring.",Electric Light and Power Companies,+254729606562,,fm@icopower.com,www.icopower-esco.com,Nairobi,"66 Muthithi RoadNairobi, Kenya 00100 Westlands",-1.2696962,36.81054990000001,https://www.kenyaplex.com/businesslogos/99040.jpg
"The Grade of Kings and Queens High School, Nairbi",We offer quality and affordable high school and primary education. Evening and weekend classes/tuition are available to adult students. We offer both K.C.S.E and K.C.P.E registration and examination.,Schools - Secondary,+254755993155,+254705415448,gracekingsqueenshighschool@gmail.com,the-grace-of-kings-queens-high-school.business.site/,Nairobi,"KIOI Stage, Behind St.Patricks College, Kayole NairobiP.O Box 158-00100",-1.2773942,36.9157976,https://www.kenyaplex.com/businesslogos/99039.jpg
"Brandmate, Nairobi",Brandmate is a leading digital marketing agency in Kenya that offers innovative solutions:Web DesignSearch Engine Optimization (SEO)Email MarketingEcommerceOnline AdvertisingOnline Video MarketingSocial Media MarketingMobile MarketingGraphic DesignVisit us at https://brandmate.co.ke,Website Designers,+27627663727,,info@brandmate.co.ke,https://brandmate.co.ke/kenya-web-experts/,Nairobi,"Landmark Plaza, 22 - 13th Floor, Argwings Kodhek Road, Nairobi, Kenya",-1.2947749,36.8054,
"Biglife Group of Companies, Nairobi","We offer LOANS, SAVINGS, SHARES, INVESTMENTS, PLOTS and HOUSES",Financial Services,0738 526 526,0738 526 526,info@biglife.co.ke,www.biglife.co.ke,Nairobi,Nairobi CBD Tom Mboya Street,-1.2846304,36.8260383,https://www.kenyaplex.com/businesslogos/99033.jpg
"Trojesee Traders Limited, Nairobi","We are dealers in high quality spare parts ie. Pressure plates, clutch plates, Wheel studs and Axle bolts, Brake Materials and belts. We are the only authorized suppliers of SAIB Brake Linings and Rolls, the top quality and competitive Brake Lining in the whole of East Africa.",Auto Accessories,0723 440797,,info@trojeseetraders.co.ke,www.trojeseetraders.co.ke,Nairobi,"Mwimbi Lane off Kirinyaga RoadP.O BOX 74474Nairobi, Kenya",-0.5731737,37.325472,https://www.kenyaplex.com/businesslogos/99031.jpg
"Boilerhouse Engineering Ltd, Nairobi","We supply burners and spare parts for boilers and incinerators.We also do boiler servicing and overhauls in hotels. We install central hot water system in hotels. In addition we do steam and condensate installations. Our main products are riello burners, baltur burners, baite burners and nuway burners.","Boilers, Valves and Steam Products",+254720136025,+254714972767,info@boilerhouse.co.ke,www.boilerhouse.co.ke/,Nairobi,P.0 .Box 15146-00100,40.4324714,-79.7512033,
"Pure Boutique Supplies Ltd, Nairobi","Pure Boutique supplies Ltd is a limited private company with speciality in supply of:Guest Room Toiletries and  amenities which includes: Lotions, Showergel, Shampoo, vanity kits, Shaving kits, shower caps, Dental kits, sanitary kits, Shoe mint, etc.Restaurant amenities which include Food gloves, Hair nets, compressed hand towels,Table Napkins,etcGuest Room Textiles Linen which include Duvet, Duvet covers, Bed sheet sateen and plain white cotton, Pillows, Pillow covers, Pillow shams,etcGuest Room Towels which Bath sheet, King size towel, Bath mat, Hand towel, face towel, Bath gown, etcDetergents: Hand wash, Disinifectant, dishwashing, Bleach, Laundry detergent, etc",Textile Merchants,0733991620,0727445545,Sales@pureboutique.co.ke,Www.Pureboutique.co.ke,Nairobi,"Suraj Plaza, 4th FloorLimuru Road, ParklandsP.O. BOX 7309-00100.Nairobi.",-1.2920659,36.8219462,
"Jofam Egg Traders, Nairobi",JOFAM EGGS TRADES is involved supplying of quality eggs in Nairobi and Kiambu  Counties.We deliver to our clients and our priority is to satisfy our customers.,Eggs Suppliers,0705919232,0792129189,karirijohnson04@gmail.com,,Nairobi,"Nairobi, Kenya",-1.2920659,36.8219462,https://www.kenyaplex.com/businesslogos/99026.jpg
"Research 8020 Limited, Nairobi","We a progressive digital age market and Social research offering: Consumer Research, Market Research, Social Research, Field research, qualitative research & quantitative research. Contact us today.",Research Organizations,+254780208020,+254780208021,ask@research8020.com,www.research8020.com,Nairobi,"3 Riverside Lane WestRiverside DriveNairobi, Kenya.",-1.272389,36.804623,https://www.kenyaplex.com/businesslogos/99024.jpg
